values,metric,model,L,training_scheme,regression
0.646387516965623,r2,ar,1M,UAM,elastic
0.79663687847298,r2,har,1M,UAM,elastic
0.635076881989523,r2,har_dummy_markets,1M,UAM,elastic
0.390255968304328,r2,risk_metrics,1M,UAM,elastic
0.646692801495907,r2,ar,1M,UAM,lasso
0.797353477155922,r2,har,1M,UAM,lasso
0.64800985582721,r2,har_dummy_markets,1M,UAM,lasso
0.390508621422165,r2,risk_metrics,1M,UAM,lasso
0.342572791989535,r2,ar,1M,UAM,ridge
0.462703029489915,r2,har,1M,UAM,ridge
0.462286585643289,r2,har_dummy_markets,1M,UAM,ridge
0.392745581690203,r2,risk_metrics,1M,UAM,ridge
0.022088009183,qlike,ar,1D,ClustAM,elastic
0.0261106059841316,qlike,har,1D,ClustAM,elastic
0.0380728405859929,qlike,har_dummy_markets,1D,ClustAM,elastic
0.177581502011863,qlike,risk_metrics,1D,ClustAM,elastic
0.0217623297746879,qlike,ar,1D,ClustAM,lasso
0.0269884814481223,qlike,har,1D,ClustAM,lasso
0.0363054446767175,qlike,har_dummy_markets,1D,ClustAM,lasso
0.176922762080538,qlike,risk_metrics,1D,ClustAM,lasso
0.0617002105603095,qlike,ar,1D,ClustAM,ridge
0.0612470893832981,qlike,har,1D,ClustAM,ridge
0.0689177372951702,qlike,har_dummy_markets,1D,ClustAM,ridge
0.166773511784681,qlike,risk_metrics,1D,ClustAM,ridge
0.0509008657140467,qlike,ar,1D,SAM,elastic
0.0724610973725347,qlike,har,1D,SAM,elastic
0.0653005132298344,qlike,har_dummy_markets,1D,SAM,elastic
0.0508871568563864,qlike,ar,1D,SAM,lasso
0.0936472676404493,qlike,har,1D,SAM,lasso
0.0648188557411526,qlike,har_dummy_markets,1D,SAM,lasso
0.0497589119839608,qlike,ar,1D,SAM,linear
0.43770294565532,qlike,har,1D,SAM,linear
0.984720441923616,qlike,har_dummy_markets,1D,SAM,linear
0.880769555581378,qlike,risk_metrics,1D,SAM,linear
0.063309725323576,qlike,ar,1D,SAM,ridge
0.0632333300965045,qlike,har,1D,SAM,ridge
0.106828002125931,qlike,har_dummy_markets,1D,SAM,ridge
0.0216367162233212,qlike,ar,1D,UAM,elastic
0.0215219297693335,qlike,har,1D,UAM,elastic
0.0354823118706713,qlike,har_dummy_markets,1D,UAM,elastic
0.179116671208621,qlike,risk_metrics,1D,UAM,elastic
0.0216872305746124,qlike,ar,1D,UAM,lasso
0.0220683093276738,qlike,har,1D,UAM,lasso
0.0345793819881723,qlike,har_dummy_markets,1D,UAM,lasso
0.178291369305337,qlike,risk_metrics,1D,UAM,lasso
0.0603241511760381,qlike,ar,1D,UAM,ridge
0.0595707859468115,qlike,har,1D,UAM,ridge
0.0672282497284305,qlike,har_dummy_markets,1D,UAM,ridge
0.163780306035706,qlike,risk_metrics,1D,UAM,ridge
0.0201470223752181,qlike,ar,1W,ClustAM,elastic
0.0132866446920024,qlike,har,1W,ClustAM,elastic
0.0242818230933865,qlike,har_dummy_markets,1W,ClustAM,elastic
0.150495403464799,qlike,risk_metrics,1W,ClustAM,elastic
0.020133063586585,qlike,ar,1W,ClustAM,lasso
0.0179321215886217,qlike,har,1W,ClustAM,lasso
0.0230234796498368,qlike,har_dummy_markets,1W,ClustAM,lasso
0.150426866810977,qlike,risk_metrics,1W,ClustAM,lasso
0.058849119383053,qlike,ar,1W,ClustAM,ridge
0.054217194620501,qlike,har,1W,ClustAM,ridge
0.0541285200471245,qlike,har_dummy_markets,1W,ClustAM,ridge
0.149338000278054,qlike,risk_metrics,1W,ClustAM,ridge
0.0469635638837946,qlike,ar,1W,SAM,elastic
0.0224558303564773,qlike,har,1W,SAM,elastic
0.0403083444736423,qlike,har_dummy_markets,1W,SAM,elastic
0.0469580065717431,qlike,ar,1W,SAM,lasso
0.0223894132611325,qlike,har,1W,SAM,lasso
0.0372260955313047,qlike,har_dummy_markets,1W,SAM,lasso
0.0485507243594541,qlike,ar,1W,SAM,linear
0.0355790354756703,qlike,har,1W,SAM,linear
0.0228927927888112,qlike,har_dummy_markets,1W,SAM,linear
0.880769555581378,qlike,risk_metrics,1W,SAM,linear
0.0722791997972273,qlike,ar,1W,SAM,ridge
0.103985559691324,qlike,har,1W,SAM,ridge
0.0694697990420823,qlike,har_dummy_markets,1W,SAM,ridge
0.0192778282404309,qlike,ar,1W,UAM,elastic
0.013587202924697,qlike,har,1W,UAM,elastic
0.0228618719061065,qlike,har_dummy_markets,1W,UAM,elastic
0.148838639654278,qlike,risk_metrics,1W,UAM,elastic
0.0192579280679322,qlike,ar,1W,UAM,lasso
0.0135287746175246,qlike,har,1W,UAM,lasso
0.0220682238757051,qlike,har_dummy_markets,1W,UAM,lasso
0.148560550303927,qlike,risk_metrics,1W,UAM,lasso
0.0509394961532779,qlike,ar,1W,UAM,ridge
0.0458332934306881,qlike,har,1W,UAM,ridge
0.0460447198774467,qlike,har_dummy_markets,1W,UAM,ridge
0.145892440082199,qlike,risk_metrics,1W,UAM,ridge
0.021439752546401,qlike,ar,1M,ClustAM,elastic
0.0112815095035238,qlike,har,1M,ClustAM,elastic
0.0225490148236383,qlike,har_dummy_markets,1M,ClustAM,elastic
0.119672942885041,qlike,risk_metrics,1M,ClustAM,elastic
0.021422425335727,qlike,ar,1M,ClustAM,lasso
0.0112534280754943,qlike,har,1M,ClustAM,lasso
0.0213793175416924,qlike,har_dummy_markets,1M,ClustAM,lasso
0.11961954737896,qlike,risk_metrics,1M,ClustAM,lasso
0.0500997802824529,qlike,ar,1M,ClustAM,ridge
0.039369259371434,qlike,har,1M,ClustAM,ridge
0.0391290554490409,qlike,har_dummy_markets,1M,ClustAM,ridge
0.119562585822268,qlike,risk_metrics,1M,ClustAM,ridge
0.0500966108077541,qlike,ar,1M,SAM,elastic
0.0216836089317473,qlike,har,1M,SAM,elastic
0.0339076001363044,qlike,har_dummy_markets,1M,SAM,elastic
0.0500857708992652,qlike,ar,1M,SAM,lasso
0.0216397078928932,qlike,har,1M,SAM,lasso
0.0307513281131058,qlike,har_dummy_markets,1M,SAM,lasso
0.0500616565487507,qlike,ar,1M,SAM,linear
0.0241743157935823,qlike,har,1M,SAM,linear
0.0222592034597239,qlike,har_dummy_markets,1M,SAM,linear
0.880769555581378,qlike,risk_metrics,1M,SAM,linear
0.0856488262537032,qlike,ar,1M,SAM,ridge
0.106859560620207,qlike,har,1M,SAM,ridge
0.0673025168634558,qlike,har_dummy_markets,1M,SAM,ridge
0.0201949091558807,qlike,ar,1M,UAM,elastic
0.0110455797298153,qlike,har,1M,UAM,elastic
0.0215093378959597,qlike,har_dummy_markets,1M,UAM,elastic
0.121209913778596,qlike,risk_metrics,1M,UAM,elastic
0.0201729609697533,qlike,ar,1M,UAM,lasso
0.0110069339075615,qlike,har,1M,UAM,lasso
0.0205717473615753,qlike,har_dummy_markets,1M,UAM,lasso
0.121079055768161,qlike,risk_metrics,1M,UAM,lasso
0.0393524861516946,qlike,ar,1M,UAM,ridge
0.031599137510805,qlike,har,1M,UAM,ridge
0.0315444733349056,qlike,har_dummy_markets,1M,UAM,ridge
0.120943591967893,qlike,risk_metrics,1M,UAM,ridge
0.00765131848414859,mse,ar,1D,ClustAM,elastic
0.00752550420972804,mse,har,1D,ClustAM,elastic
0.0128895231699214,mse,har_dummy_markets,1D,ClustAM,elastic
3.42326474662865e-07,mse,risk_metrics,1D,ClustAM,elastic
0.0358352368548476,mse,ar,1D,ClustAM,lasso
0.00777121381305266,mse,har,1D,ClustAM,lasso
0.0123905646392951,mse,har_dummy_markets,1D,ClustAM,lasso
3.41750755187806e-07,mse,risk_metrics,1D,ClustAM,lasso
0.0215111991215279,mse,ar,1D,ClustAM,ridge
0.0212991308786374,mse,har,1D,ClustAM,ridge
0.0238811517296488,mse,har_dummy_markets,1D,ClustAM,ridge
3.24565379507911e-07,mse,risk_metrics,1D,ClustAM,ridge
0.0178247447072134,mse,ar,1D,SAM,elastic
0.0144789762232356,mse,har,1D,SAM,elastic
0.022975178346609,mse,har_dummy_markets,1D,SAM,elastic
0.0178195709435103,mse,ar,1D,SAM,lasso
0.0160290279849466,mse,har,1D,SAM,lasso
0.022725659249668,mse,har_dummy_markets,1D,SAM,lasso
0.0350497396835666,mse,ar,1D,SAM,linear
0.0467580211042943,mse,har,1D,SAM,linear
0.195676212301228,mse,har_dummy_markets,1D,SAM,linear
1.19912070199678e-06,mse,risk_metrics,1D,SAM,linear
0.0222617805953927,mse,ar,1D,SAM,ridge
0.0222437452346647,mse,har,1D,SAM,ridge
0.00212125425715058,mse,har_dummy_markets,1D,SAM,ridge
0.00746023037528019,mse,ar,1D,UAM,elastic
0.00713277763505029,mse,har,1D,UAM,elastic
0.0122695191494498,mse,har_dummy_markets,1D,UAM,elastic
3.07275034335456e-06,mse,risk_metrics,1D,UAM,elastic
0.00748519706780411,mse,ar,1D,UAM,lasso
0.00723897303225428,mse,har,1D,UAM,lasso
0.0119371302962267,mse,har_dummy_markets,1D,UAM,lasso
3.06892438743204e-06,mse,risk_metrics,1D,UAM,lasso
0.0211140417774012,mse,ar,1D,UAM,ridge
0.0208098878284383,mse,har,1D,UAM,ridge
0.0234384126536132,mse,har_dummy_markets,1D,UAM,ridge
2.8446992940585e-06,mse,risk_metrics,1D,UAM,ridge
0.00697466076425792,mse,ar,1W,ClustAM,elastic
0.00449990320711508,mse,har,1W,ClustAM,elastic
0.0078064611027713,mse,har_dummy_markets,1W,ClustAM,elastic
3.76656422838336e-08,mse,risk_metrics,1W,ClustAM,elastic
0.00697074018977334,mse,ar,1W,ClustAM,lasso
0.00449183879080348,mse,har,1W,ClustAM,lasso
0.00746093636221491,mse,har_dummy_markets,1W,ClustAM,lasso
3.76545970404692e-08,mse,risk_metrics,1W,ClustAM,lasso
0.0206565182585433,mse,ar,1W,ClustAM,ridge
0.0178675227411947,mse,har,1W,ClustAM,ridge
0.0179780970774998,mse,har_dummy_markets,1W,ClustAM,ridge
3.72801917820748e-08,mse,risk_metrics,1W,ClustAM,ridge
0.0168616017652279,mse,ar,1W,SAM,elastic
0.0078028366327799,mse,har,1W,SAM,elastic
0.0127915239398494,mse,har_dummy_markets,1W,SAM,elastic
0.016858763057635,mse,ar,1W,SAM,lasso
0.00777670261231964,mse,har,1W,SAM,lasso
0.0117111591351681,mse,har_dummy_markets,1W,SAM,lasso
0.0187327388137873,mse,ar,1W,SAM,linear
0.0165277319448888,mse,har,1W,SAM,linear
0.0158854120596167,mse,har_dummy_markets,1W,SAM,linear
7.19472421198067e-06,mse,risk_metrics,1W,SAM,linear
0.0275025674967931,mse,ar,1W,SAM,ridge
0.00222553240158098,mse,har,1W,SAM,ridge
0.0254771655230138,mse,har_dummy_markets,1W,SAM,ridge
0.0066974719395022,mse,ar,1W,UAM,elastic
0.0045251030315567,mse,har,1W,UAM,elastic
0.00749597266778778,mse,har_dummy_markets,1W,UAM,elastic
3.33948537929867e-07,mse,risk_metrics,1W,UAM,elastic
0.00669261366887096,mse,ar,1W,UAM,lasso
0.00450986245862658,mse,har,1W,UAM,lasso
0.00724230312664254,mse,har_dummy_markets,1W,UAM,lasso
3.33643254305024e-07,mse,risk_metrics,1W,UAM,lasso
0.0182876421814318,mse,ar,1W,UAM,ridge
0.0155616415278512,mse,har,1W,UAM,ridge
0.0157402165013967,mse,har_dummy_markets,1W,UAM,ridge
2.53702238343202e-07,mse,risk_metrics,1W,UAM,ridge
0.00662447294019393,mse,ar,1M,ClustAM,elastic
0.00347178092478401,mse,har,1M,ClustAM,elastic
0.00676162605057914,mse,har_dummy_markets,1M,ClustAM,elastic
2.95612751982939e-09,mse,risk_metrics,1M,ClustAM,elastic
0.00661767680545763,mse,ar,1M,ClustAM,lasso
0.00346364691651681,mse,har,1M,ClustAM,lasso
0.00644805876187739,mse,har_dummy_markets,1M,ClustAM,lasso
2.95599076152807e-09,mse,risk_metrics,1M,ClustAM,lasso
0.0148554932691267,mse,ar,1M,ClustAM,ridge
0.0114421403379905,mse,har,1M,ClustAM,ridge
0.0114550240703553,mse,har_dummy_markets,1M,ClustAM,ridge
2.9508795768071e-09,mse,risk_metrics,1M,ClustAM,ridge
0.0160267283082804,mse,ar,1M,SAM,elastic
