timestamp,values,metric,model,L,training_scheme,regression
2022-01-09 00:00:00+00:00,0.0211762998098811,qlike,ar,1W,ClustAM,ridge
2022-01-09 00:00:00+00:00,0.0204396867273145,qlike,har,1W,ClustAM,ridge
2022-01-09 00:00:00+00:00,0.0199532606410113,qlike,ar,1W,SAM,linear
2022-01-09 00:00:00+00:00,0.00952759115379403,qlike,har,1W,SAM,linear
2022-01-09 00:00:00+00:00,0.00956346938703614,qlike,har_dummy_markets,1W,SAM,linear
2022-01-09 00:00:00+00:00,0.627790460379994,qlike,risk_metrics,1W,SAM,linear
2022-01-09 00:00:00+00:00,0.00953813618344335,qlike,ar,1W,UAM,elastic
2022-01-09 00:00:00+00:00,0.00485322332096886,qlike,har,1W,UAM,elastic
2022-01-09 00:00:00+00:00,0.00953246565163774,qlike,ar,1W,UAM,lasso
2022-01-09 00:00:00+00:00,0.00483711837316691,qlike,har,1W,UAM,lasso
2022-01-09 00:00:00+00:00,0.0185718712626187,qlike,ar,1W,UAM,ridge
2022-01-09 00:00:00+00:00,0.0177592567890662,qlike,har,1W,UAM,ridge
2022-01-09 00:00:00+00:00,0.627790460379994,qlike,risk_metrics,1M,SAM,linear
2022-01-09 00:00:00+00:00,9.83870821946804e-06,mse,ar,1D,ClustAM,elastic
2022-01-09 00:00:00+00:00,4.80977405260547e-06,mse,har,1D,ClustAM,elastic
2022-01-09 00:00:00+00:00,9.86283803627801e-06,mse,ar,1D,ClustAM,lasso
2022-01-09 00:00:00+00:00,4.49160653955223e-06,mse,har,1D,ClustAM,lasso
2022-01-09 00:00:00+00:00,3.43987385049514e-05,mse,ar,1D,ClustAM,ridge
2022-01-09 00:00:00+00:00,3.49710521088647e-05,mse,har,1D,ClustAM,ridge
2022-01-09 00:00:00+00:00,2.51064676995341e-05,mse,ar,1D,SAM,linear
2022-01-09 00:00:00+00:00,7.17930306590586e-05,mse,har,1D,SAM,linear
2022-01-09 00:00:00+00:00,0.00021191632975958,mse,har_dummy_markets,1D,SAM,linear
2022-01-09 00:00:00+00:00,3.53504992081348e-09,mse,risk_metrics,1D,SAM,linear
2022-01-09 00:00:00+00:00,7.87664778925858e-06,mse,ar,1D,UAM,elastic
2022-01-09 00:00:00+00:00,3.98356909320192e-06,mse,har,1D,UAM,elastic
2022-01-09 00:00:00+00:00,7.89705867377155e-06,mse,ar,1D,UAM,lasso
2022-01-09 00:00:00+00:00,3.90533741710123e-06,mse,har,1D,UAM,lasso
2022-01-09 00:00:00+00:00,3.19168176221685e-05,mse,ar,1D,UAM,ridge
2022-01-09 00:00:00+00:00,3.06369944813187e-05,mse,har,1D,UAM,ridge
2022-01-09 00:00:00+00:00,6.39211803292975e-06,mse,ar,1W,ClustAM,elastic
2022-01-09 00:00:00+00:00,3.70703719090319e-06,mse,har,1W,ClustAM,elastic
2022-01-09 00:00:00+00:00,4.06357407822793e-06,mse,ar,1W,ClustAM,lasso
2022-01-09 00:00:00+00:00,3.57033630959634e-06,mse,har,1W,ClustAM,lasso
2022-01-09 00:00:00+00:00,1.05006791445156e-05,mse,ar,1W,ClustAM,ridge
2022-01-09 00:00:00+00:00,1.04529109979391e-05,mse,har,1W,ClustAM,ridge
2022-01-09 00:00:00+00:00,1.07168953788772e-05,mse,ar,1W,SAM,linear
2022-01-09 00:00:00+00:00,5.49422994942919e-06,mse,har,1W,SAM,linear
2022-01-09 00:00:00+00:00,5.51164122090017e-06,mse,har_dummy_markets,1W,SAM,linear
2022-01-09 00:00:00+00:00,3.53504992081348e-09,mse,risk_metrics,1W,SAM,linear
2022-01-09 00:00:00+00:00,5.69593006581846e-06,mse,ar,1W,UAM,elastic
2022-01-09 00:00:00+00:00,3.14531746329781e-06,mse,har,1W,UAM,elastic
2022-01-09 00:00:00+00:00,5.68915304694498e-06,mse,ar,1W,UAM,lasso
2022-01-09 00:00:00+00:00,3.14645034218028e-06,mse,har,1W,UAM,lasso
2022-01-09 00:00:00+00:00,9.26805597016842e-06,mse,ar,1W,UAM,ridge
2022-01-09 00:00:00+00:00,8.53711092882846e-06,mse,har,1W,UAM,ridge
2022-01-09 00:00:00+00:00,3.53504992081348e-09,mse,risk_metrics,1M,SAM,linear
2022-01-16 00:00:00+00:00,0.607694083562132,r2,ar,1D,ClustAM,elastic
2022-01-16 00:00:00+00:00,0.850861201635704,r2,har,1D,ClustAM,elastic
2022-01-16 00:00:00+00:00,0.610637682672997,r2,ar,1D,ClustAM,lasso
2022-01-16 00:00:00+00:00,0.862403498956406,r2,har,1D,ClustAM,lasso
2022-01-16 00:00:00+00:00,0.000409779263257574,r2,ar,1D,ClustAM,ridge
2022-01-16 00:00:00+00:00,0.0237996960800988,r2,har,1D,ClustAM,ridge
